1
451
10
10
5
12
25
0
6
5
16
9
1
17
2
13
|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,
|_|,*x,*,*,*,*,*,*,*,*x,|_|,*x,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*x,|_|,
|_|,*,*,*,*,*,*,*,*,*x,|_|,*x,*,*,*,*,*,*,*,*,*,*,**,*,*,**,*,*,*,*,*,|_|,
|_|,*,*,*x,*x,*x,*x,*x,*x,*x,|_|,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*,*,*,|_|,
|_|,*,*,*x,|_|,|_|,|_|,*x,|_|,|_|,|_|,|_|,|_|,*x,|_|,|_|,|_|,|_|,|_|,*x,|_|,*x,|_|,|_|,|_|,*x,|_|,*x,*,*,*,|_|,
|_|,*,*,*x,|_|,*x,*x,*x,*x,*x,*x,x,*x,*x,*x,*x,|_|,*x,*x,*x,*x,*x,|_|,x,*x,*x,|_|,*x,*,**,*,|_|,
|_|,*,*,*x,|_|,*x,|_|,*x,*x,*x,|_|,|_|,|_|,*x,|_|,*x,|_|,**x,|_|,*x,|_|,*x,|_|,*x,|_|,*x,|_|,*x,*,*,*,|_|,
|_|,*,*,*x,|_|,*x,|_|,|_|,|_|,*x,*x,x,*x,*x,|_|,*x,|_|,*x,|_|,x,|_|,*x,|_|,*x,*x,*x,|_|,*x,*x,*x,*,|_|,
|_|,*,*,*x,*x,*x,*x,*x,*x,*x,|_|,*x,*x,*x,*x,x,*x,*x,*x,*x,|_|,*x,*x,*x,*x,*x,*x,*x,|_|,*x,*,|_|,
|_|,*,*,*x,|_|,|_|,|_|,*x,*x,*x,*x,*x,*x,|_|,|_|,|_|,|_|,|_|,*x,*x,*x,*x,|_|,*x,|_|,*x,|_|,x,|_|,*x,*,|_|,
|_|,*,*,*x,*x,*x,*x,*x,|_|,*x,|_|,*x,*x,|_|,x,x,x,|_|,*x,*x,|_|,*x,*x,*x,*x,*x,*x,*x,|_|,*x,*,|_|,
,*x,*,*x,|_|,*x,*x,*x,|_|,*x,|_|,x,*x,|_|,|_|,|_|,|_|,|_|,*x,*x,|_|,|_|,|_|,*x,|_|,x,**x,*x,*x,*x,*x,,
|_|,*,*,*x,*x,*x,|_|,*x,*x,*x,|_|,*x,*x,*x,*x,x,x,x,x,x,x,x,x,x,x,x,|_|,*x,*,*,*,|_|,
|_|,*,*,*x,*x,*x,|_|,|_|,|_|,*x,*x,x,*x,*x,*x,*x,*x,x,|_|,*x,|_|,x,*x,x,*x,x,*x,*x,*x,*x,*,|_|,
|_|,*,*,*x,*x,*x,*x,*x,*x,*x,*x,*x,|_|,*x,|_|,*x,*x,*x,*x,*x,|_|,*x,|_|,*x,|_|,*x,*x,*x,|_|,*x,*,|_|,
|_|,*,*,*x,*x,*x,*x,*x,*x,*x,*x,x,*x,x,|_|,|_|,|_|,*x,*x,x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*,|_|,
|_|,*,*,*x,|_|,*x,|_|,*x,|_|,*x,|_|,*x,|_|,*x,*x,*x,*x,*x,*x,*x,|_|,*x,|_|,*x,|_|,*x,|_|,*x,*,*,*,|_|,
|_|,*x,*x,*x,|_|,*x,|_|,*x,*x,x,*x,x,*x,*x,*x,x,|_|,*x,*x,*x,*x,*x,|_|,x,|_|,*x,*x,*x,*,**,*,|_|,
|_|,|_|,|_|,*x,*x,*x,|_|,*x,|_|,|_|,|_|,*x,*x,*x,*x,*x,*x,*x,*,*x,*x,*x,|_|,*x,|_|,*x,*x,*x,*x,*x,**,|_|,
|_|,*x,*x,*x,|_|,*x,|_|,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*x,*,*,*,*x,*x,*x,*x,*x,|_|,|_|,|_|,*x,*,|_|,
|_|,*x,*,*x,|_|,*x,*x,*x,*,**,*,*x,*x,*x,*,*x,*x,*x,*,*,*,*,*,*x,**x,*x,*x,*x,*x,*x,*x,|_|,
|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,|_|,
